datetime,facility_name,consumption_kwh
2024-04-02 08:30:00,市民会館,23.566
2024-04-02 09:00:00,市民会館,17.865
2024-04-02 09:30:00,市民会館,17.762
2024-04-02 10:00:00,市民会館,10.749
2024-04-02 10:30:00,市民会館,10.209
2024-04-02 11:00:00,市民会館,6.779
2024-04-02 11:30:00,市民会館,6.831
2024-04-02 12:00:00,市民会館,9.073
2024-04-02 12:30:00,市民会館,9.746
2024-04-02 13:00:00,市民会館,13.375
2024-04-02 13:30:00,市民会館,13.739
2024-04-02 14:00:00,市民会館,14.682
2024-04-02 14:30:00,市民会館,15.122
2024-04-02 15:00:00,市民会館,13.652
2024-04-02 15:30:00,市民会館,13.033
2024-04-02 16:00:00,市民会館,9.306
2024-04-02 16:30:00,市民会館,8.797
2024-04-02 17:00:00,市民会館,4.781
2024-04-02 17:30:00,市民会館,4.777
2024-04-02 18:00:00,市民会館,1.909
2024-04-02 18:30:00,市民会館,2.079
2024-04-02 19:00:00,市民会館,0.732
2024-04-02 19:30:00,市民会館,0.75
2024-04-02 20:00:00,市民会館,0.768
2024-04-02 20:30:00,市民会館,0.767
2024-04-02 21:00:00,市民会館,0.775
2024-04-02 21:30:00,市民会館,0.746
2024-04-02 22:00:00,市民会館,0.734
2024-04-02 22:30:00,市民会館,0.747
2024-04-02 23:00:00,市民会館,0.687
2024-04-02 23:30:00,市民会館,0.696
2024-04-03 00:00:00,市民会館,0.7
2024-04-03 00:30:00,市民会館,0.713
2024-04-03 01:00:00,市民会館,0.765
2024-04-03 01:30:00,市民会館,0.716
2024-04-03 02:00:00,市民会館,0.736
2024-04-03 02:30:00,市民会館,0.799
2024-04-03 03:00:00,市民会館,0.737
2024-04-03 03:30:00,市民会館,0.778
2024-04-03 04:00:00,市民会館,0.715
2024-04-03 04:30:00,市民会館,0.742
2024-04-03 05:00:00,市民会館,2.259
2024-04-03 05:30:00,市民会館,2.332
2024-04-03 06:00:00,市民会館,8.63
2024-04-03 06:30:00,市民会館,7.567
2024-04-03 07:00:00,市民会館,17.937
2024-04-03 07:30:00,市民会館,17.765
2024-04-03 08:00:00,市民会館,21.993
2024-04-03 08:30:00,市民会館,21.028
2024-04-03 09:00:00,市民会館,18.248
2024-04-03 09:30:00,市民会館,17.701
2024-04-03 10:00:00,市民会館,10.427
2024-04-03 10:30:00,市民会館,10.319
2024-04-03 11:00:00,市民会館,7.821
2024-04-03 11:30:00,市民会館,7.155
2024-04-03 12:00:00,市民会館,9.023
2024-04-03 12:30:00,市民会館,9.595
2024-04-03 13:00:00,市民会館,13.427
2024-04-03 13:30:00,市民会館,14.183
2024-04-03 14:00:00,市民会館,15.629
2024-04-03 14:30:00,市民会館,15.27
2024-04-03 15:00:00,市民会館,14.206
2024-04-03 15:30:00,市民会館,12.451
2024-04-03 16:00:00,市民会館,8.807
2024-04-03 16:30:00,市民会館,8.676
2024-04-03 17:00:00,市民会館,4.775
2024-04-03 17:30:00,市民会館,4.535
2024-04-03 18:00:00,市民会館,2.094
2024-04-03 18:30:00,市民会館,2.007
2024-04-03 19:00:00,市民会館,0.695
2024-04-03 19:30:00,市民会館,0.712
2024-04-03 20:00:00,市民会館,0.762
2024-04-03 20:30:00,市民会館,0.781
2024-04-03 21:00:00,市民会館,0.825
2024-04-03 21:30:00,市民会館,0.859
2024-04-03 22:00:00,市民会館,0.766
2024-04-03 22:30:00,市民会館,0.713
2024-04-03 23:00:00,市民会館,0.67
2024-04-03 23:30:00,市民会館,0.76
2024-04-04 00:00:00,市民会館,0.72
2024-04-04 00:30:00,市民会館,0.734
2024-04-04 01:00:00,市民会館,0.727
2024-04-04 01:30:00,市民会館,0.745
2024-04-04 02:00:00,市民会館,0.79
2024-04-04 02:30:00,市民会館,0.756
2024-04-04 03:00:00,市民会館,0.744
2024-04-04 03:30:00,市民会館,0.711
2024-04-04 04:00:00,市民会館,0.687
2024-04-04 04:30:00,市民会館,0.732
2024-04-04 05:00:00,市民会館,2.366
2024-04-04 05:30:00,市民会館,2.582
2024-04-04 06:00:00,市民会館,8.336
2024-04-04 06:30:00,市民会館,8.689
2024-04-04 07:00:00,市民会館,17.118
2024-04-04 07:30:00,市民会館,16.516
2024-04-04 08:00:00,市民会館,21.573
2024-04-04 08:30:00,市民会館,21.845
2024-04-04 09:00:00,市民会館,20.117
2024-04-04 09:30:00,市民会館,17.435
2024-04-04 10:00:00,市民会館,10.739
2024-04-04 10:30:00,市民会館,9.842
2024-04-04 11:00:00,市民会館,7.579
2024-04-04 11:30:00,市民会館,7.381
2024-04-04 12:00:00,市民会館,9.436
2024-04-04 12:30:00,市民会館,9.491
2024-04-04 13:00:00,市民会館,12.846
2024-04-04 13:30:00,市民会館,13.577
2024-04-04 14:00:00,市民会館,14.661
2024-04-04 14:30:00,市民会館,14.083
2024-04-04 15:00:00,市民会館,12.392
2024-04-04 15:30:00,市民会館,13.352
2024-04-04 16:00:00,市民会館,9.816
2024-04-04 16:30:00,市民会館,9.171
2024-04-04 17:00:00,市民会館,4.841
2024-04-04 17:30:00,市民会館,4.939
2024-04-04 18:00:00,市民会館,2.163
2024-04-04 18:30:00,市民会館,2.052
2024-04-04 19:00:00,市民会館,0.735
2024-04-04 19:30:00,市民会館,0.791
2024-04-04 20:00:00,市民会館,0.766
2024-04-04 20:30:00,市民会館,0.808
2024-04-04 21:00:00,市民会館,0.757
2024-04-04 21:30:00,市民会館,0.704
2024-04-04 22:00:00,市民会館,0.699
2024-04-04 22:30:00,市民会館,0.812
2024-04-04 23:00:00,市民会館,0.815
2024-04-04 23:30:00,市民会館,0.743
2024-04-05 00:00:00,市民会館,0.736
2024-04-05 00:30:00,市民会館,0.805
2024-04-05 01:00:00,市民会館,0.708
2024-04-05 01:30:00,市民会館,0.716
2024-04-05 02:00:00,市民会館,0.774
2024-04-05 02:30:00,市民会館,0.735
2024-04-05 03:00:00,市民会館,0.75
2024-04-05 03:30:00,市民会館,0.744
2024-04-05 04:00:00,市民会館,0.763
2024-04-05 04:30:00,市民会館,0.803
2024-04-05 05:00:00,市民会館,2.383
2024-04-05 05:30:00,市民会館,2.448
2024-04-05 06:00:00,市民会館,7.433
2024-04-05 06:30:00,市民会館,8.262
2024-04-05 07:00:00,市民会館,16.816
2024-04-05 07:30:00,市民会館,16.486
2024-04-05 08:00:00,市民会館,21.671
2024-04-05 08:30:00,市民会館,22.288
2024-04-05 09:00:00,市民会館,19.015
2024-04-05 09:30:00,市民会館,16.976
2024-04-05 10:00:00,市民会館,10.323
2024-04-05 10:30:00,市民会館,10.058
2024-04-05 11:00:00,市民会館,7.123
2024-04-05 11:30:00,市民会館,7.604
2024-04-05 12:00:00,市民会館,9.766
2024-04-05 12:30:00,市民会館,10.146
2024-04-05 13:00:00,市民会館,13.178
2024-04-05 13:30:00,市民会館,12.819
2024-04-05 14:00:00,市民会館,14.835
2024-04-05 14:30:00,市民会館,15.185
2024-04-05 15:00:00,市民会館,13.354
2024-04-05 15:30:00,市民会館,12.52
2024-04-05 16:00:00,市民会館,9.139
2024-04-05 16:30:00,市民会館,9.202
2024-04-05 17:00:00,市民会館,5.483
2024-04-05 17:30:00,市民会館,5.327
2024-04-05 18:00:00,市民会館,1.943
2024-04-05 18:30:00,市民会館,2.001
2024-04-05 19:00:00,市民会館,0.695
2024-04-05 19:30:00,市民会館,0.728
2024-04-05 20:00:00,市民会館,0.762
2024-04-05 20:30:00,市民会館,0.795
2024-04-05 21:00:00,市民会館,0.723
2024-04-05 21:30:00,市民会館,0.725
2024-04-05 22:00:00,市民会館,0.669
2024-04-05 22:30:00,市民会館,0.744
2024-04-05 23:00:00,市民会館,0.71
2024-04-05 23:30:00,市民会館,0.73
2024-04-06 00:00:00,市民会館,0.717
2024-04-06 00:30:00,市民会館,0.746
2024-04-06 01:00:00,市民会館,0.684
2024-04-06 01:30:00,市民会館,0.695
2024-04-06 02:00:00,市民会館,0.83
2024-04-06 02:30:00,市民会館,0.702
2024-04-06 03:00:00,市民会館,0.709
2024-04-06 03:30:00,市民会館,0.819
2024-04-06 04:00:00,市民会館,0.859
2024-04-06 04:30:00,市民会館,0.706
2024-04-06 05:00:00,市民会館,0.736
2024-04-06 05:30:00,市民会館,0.763
2024-04-06 06:00:00,市民会館,1.347
2024-04-06 06:30:00,市民会館,1.179
2024-04-06 07:00:00,市民会館,2.122
2024-04-06 07:30:00,市民会館,2.232
2024-04-06 08:00:00,市民会館,3.443
2024-04-06 08:30:00,市民会館,3.307
2024-04-06 09:00:00,市民会館,4.75
2024-04-06 09:30:00,市民会館,4.453
2024-04-06 10:00:00,市民会館,6.067
2024-04-06 10:30:00,市民会館,6.059
2024-04-06 11:00:00,市民会館,7.217
2024-04-06 11:30:00,市民会館,6.936
2024-04-06 12:00:00,市民会館,7.677
2024-04-06 12:30:00,市民会館,7.88
2024-04-06 13:00:00,市民会館,7.19
2024-04-06 13:30:00,市民会館,7.26
2024-04-06 14:00:00,市民会館,6.157
2024-04-06 14:30:00,市民会館,6.141
2024-04-06 15:00:00,市民会館,4.61
2024-04-06 15:30:00,市民会館,4.858
2024-04-06 16:00:00,市民会館,3.354
2024-04-06 16:30:00,市民会館,3.723
2024-04-06 17:00:00,市民会館,2.318
2024-04-06 17:30:00,市民会館,2.19
2024-04-06 18:00:00,市民会館,1.192
2024-04-06 18:30:00,市民会館,1.171
2024-04-06 19:00:00,市民会館,0.795
2024-04-06 19:30:00,市民会館,0.76
2024-04-06 20:00:00,市民会館,0.768
2024-04-06 20:30:00,市民会館,0.685
2024-04-06 21:00:00,市民会館,0.785
2024-04-06 21:30:00,市民会館,0.767
2024-04-06 22:00:00,市民会館,0.708
2024-04-06 22:30:00,市民会館,0.732
2024-04-06 23:00:00,市民会館,0.76
2024-04-06 23:30:00,市民会館,0.752
2024-04-07 00:00:00,市民会館,0.739
2024-04-07 00:30:00,市民会館,0.746
2024-04-07 01:00:00,市民会館,0.741
2024-04-07 01:30:00,市民会館,0.756
2024-04-07 02:00:00,市民会館,0.805
2024-04-07 02:30:00,市民会館,0.654
2024-04-07 03:00:00,市民会館,0.741
2024-04-07 03:30:00,市民会館,0.757
2024-04-07 04:00:00,市民会館,0.761
2024-04-07 04:30:00,市民会館,0.736
2024-04-07 05:00:00,市民会館,0.684
2024-04-07 05:30:00,市民会館,0.762
2024-04-07 06:00:00,市民会館,1.347
2024-04-07 06:30:00,市民会館,1.145
2024-04-07 07:00:00,市民会館,2.242
2024-04-07 07:30:00,市民会館,2.113
2024-04-07 08:00:00,市民会館,3.36
2024-04-07 08:30:00,市民会館,3.193
2024-04-07 09:00:00,市民会館,4.702
2024-04-07 09:30:00,市民会館,5.093
2024-04-07 10:00:00,市民会館,6.319
2024-04-07 10:30:00,市民会館,6.672
2024-04-07 11:00:00,市民会館,7.554
2024-04-07 11:30:00,市民会館,7.291
2024-04-07 12:00:00,市民会館,8.154
2024-04-07 12:30:00,市民会館,7.665
2024-04-07 13:00:00,市民会館,7.43
2024-04-07 13:30:00,市民会館,7.028
2024-04-07 14:00:00,市民会館,6.161
2024-04-07 14:30:00,市民会館,5.926
2024-04-07 15:00:00,市民会館,5.019
2024-04-07 15:30:00,市民会館,4.5
2024-04-07 16:00:00,市民会館,3.502
2024-04-07 16:30:00,市民会館,3.338
2024-04-07 17:00:00,市民会館,2.275
2024-04-07 17:30:00,市民会館,2.229
2024-04-07 18:00:00,市民会館,1.353
2024-04-07 18:30:00,市民会館,1.285
2024-04-07 19:00:00,市民会館,0.691
2024-04-07 19:30:00,市民会館,0.747
2024-04-07 20:00:00,市民会館,0.706
2024-04-07 20:30:00,市民会館,0.731
2024-04-07 21:00:00,市民会館,0.807
2024-04-07 21:30:00,市民会館,0.774
2024-04-07 22:00:00,市民会館,0.724
2024-04-07 22:30:00,市民会館,0.712
2024-04-07 23:00:00,市民会館,0.751
2024-04-07 23:30:00,市民会館,0.704
2024-04-08 00:00:00,市民会館,0.725
2024-04-08 00:30:00,市民会館,0.762
2024-04-08 01:00:00,市民会館,0.793
2024-04-08 01:30:00,市民会館,0.773
2024-04-08 02:00:00,市民会館,0.664
2024-04-08 02:30:00,市民会館,0.761
2024-04-08 03:00:00,市民会館,0.753
2024-04-08 03:30:00,市民会館,0.766
2024-04-08 04:00:00,市民会館,0.811
2024-04-08 04:30:00,市民会館,0.673
2024-04-08 05:00:00,市民会館,2.302
2024-04-08 05:30:00,市民会館,2.442
2024-04-08 06:00:00,市民会館,7.627
2024-04-08 06:30:00,市民会館,8.894
2024-04-08 07:00:00,市民会館,17.879
2024-04-08 07:30:00,市民会館,18.299
2024-04-08 08:00:00,市民会館,22.02
2024-04-08 08:30:00,市民会館,23.589
2024-04-08 09:00:00,市民会館,19.153
2024-04-08 09:30:00,市民会館,18.394
2024-04-08 10:00:00,市民会館,10.428
2024-04-08 10:30:00,市民会館,10.447
2024-04-08 11:00:00,市民会館,6.929
2024-04-08 11:30:00,市民会館,7.188
2024-04-08 12:00:00,市民会館,9.438
2024-04-08 12:30:00,市民会館,9.692
2024-04-08 13:00:00,市民会館,13.945
2024-04-08 13:30:00,市民会館,12.578
2024-04-08 14:00:00,市民会館,14.909
2024-04-08 14:30:00,市民会館,16.114
2024-04-08 15:00:00,市民会館,12.745
2024-04-08 15:30:00,市民会館,12.693
2024-04-08 16:00:00,市民会館,9.19
2024-04-08 16:30:00,市民会館,9.482
2024-04-08 17:00:00,市民会館,4.873
2024-04-08 17:30:00,市民会館,5.193
2024-04-08 18:00:00,市民会館,2.117
2024-04-08 18:30:00,市民会館,2.115
2024-04-08 19:00:00,市民会館,0.771
2024-04-08 19:30:00,市民会館,0.837
2024-04-08 20:00:00,市民会館,0.742
2024-04-08 20:30:00,市民会館,0.675
2024-04-08 21:00:00,市民会館,0.81
2024-04-08 21:30:00,市民会館,0.733
2024-04-08 22:00:00,市民会館,0.754
2024-04-08 22:30:00,市民会館,0.799
2024-04-08 23:00:00,市民会館,0.69
2024-04-08 23:30:00,市民会館,0.703
2024-04-09 00:00:00,市民会館,0.69
2024-04-09 00:30:00,市民会館,0.72
2024-04-09 01:00:00,市民会館,0.766
2024-04-09 01:30:00,市民会館,0.77
2024-04-09 02:00:00,市民会館,0.76
2024-04-09 02:30:00,市民会館,0.697
2024-04-09 03:00:00,市民会館,0.663
2024-04-09 03:30:00,市民会館,0.752
2024-04-09 04:00:00,市民会館,0.732
2024-04-09 04:30:00,市民会館,0.767
2024-04-09 05:00:00,市民会館,2.455
2024-04-09 05:30:00,市民会館,2.388
2024-04-09 06:00:00,市民会館,8.597
2024-04-09 06:30:00,市民会館,8.377
2024-04-09 07:00:00,市民会館,18.021
2024-04-09 07:30:00,市民会館,16.937
2024-04-09 08:00:00,市民会館,22.463
2024-04-09 08:30:00,市民会館,22.89
2024-04-09 09:00:00,市民会館,18.928
2024-04-09 09:30:00,市民会館,17.824
2024-04-09 10:00:00,市民会館,10.576
2024-04-09 10:30:00,市民会館,10.17
2024-04-09 11:00:00,市民会館,7.199
2024-04-09 11:30:00,市民会館,7.542
2024-04-09 12:00:00,市民会館,8.562
2024-04-09 12:30:00,市民会館,8.894
2024-04-09 13:00:00,市民会館,12.297
2024-04-09 13:30:00,市民会館,11.731
2024-04-09 14:00:00,市民会館,14.494
2024-04-09 14:30:00,市民会館,15.565
2024-04-09 15:00:00,市民会館,13.049
2024-04-09 15:30:00,市民会館,13.368
2024-04-09 16:00:00,市民会館,9.593
2024-04-09 16:30:00,市民会館,9.702
2024-04-09 17:00:00,市民会館,4.853
2024-04-09 17:30:00,市民会館,5.199
2024-04-09 18:00:00,市民会館,2.039
2024-04-09 18:30:00,市民会館,1.945
2024-04-09 19:00:00,市民会館,0.728
2024-04-09 19:30:00,市民会館,0.694
2024-04-09 20:00:00,市民会館,0.717
2024-04-09 20:30:00,市民会館,0.737
2024-04-09 21:00:00,市民会館,0.78
2024-04-09 21:30:00,市民会館,0.815
2024-04-09 22:00:00,市民会館,0.698
2024-04-09 22:30:00,市民会館,0.765
2024-04-09 23:00:00,市民会館,0.711
2024-04-09 23:30:00,市民会館,0.768
2024-04-10 00:00:00,市民会館,0.745
2024-04-10 00:30:00,市民会館,0.681
2024-04-10 01:00:00,市民会館,0.785
2024-04-10 01:30:00,市民会館,0.727
2024-04-10 02:00:00,市民会館,0.73
2024-04-10 02:30:00,市民会館,0.71
2024-04-10 03:00:00,市民会館,0.725
2024-04-10 03:30:00,市民会館,0.766
2024-04-10 04:00:00,市民会館,0.743
2024-04-10 04:30:00,市民会館,0.762
2024-04-10 05:00:00,市民会館,2.415
2024-04-10 05:30:00,市民会館,2.529
2024-04-10 06:00:00,市民会館,8.14
2024-04-10 06:30:00,市民会館,7.671
2024-04-10 07:00:00,市民会館,18.493
2024-04-10 07:30:00,市民会館,17.265
2024-04-10 08:00:00,市民会館,23.93
2024-04-10 08:30:00,市民会館,23.101
2024-04-10 09:00:00,市民会館,18.063
2024-04-10 09:30:00,市民会館,18.499
2024-04-10 10:00:00,市民会館,11.313
2024-04-10 10:30:00,市民会館,11.378
2024-04-10 11:00:00,市民会館,7.266
2024-04-10 11:30:00,市民会館,7.299
2024-04-10 12:00:00,市民会館,10.022
2024-04-10 12:30:00,市民会館,9.108
2024-04-10 13:00:00,市民会館,13.502
2024-04-10 13:30:00,市民会館,13.264
2024-04-10 14:00:00,市民会館,15.238
2024-04-10 14:30:00,市民会館,14.378
2024-04-10 15:00:00,市民会館,12.185
2024-04-10 15:30:00,市民会館,11.865
2024-04-10 16:00:00,市民会館,8.59
2024-04-10 16:30:00,市民会館,8.889
2024-04-10 17:00:00,市民会館,4.798
2024-04-10 17:30:00,市民会館,5.341
2024-04-10 18:00:00,市民会館,2.142
2024-04-10 18:30:00,市民会館,1.932
2024-04-10 19:00:00,市民会館,0.763
2024-04-10 19:30:00,市民会館,0.735
2024-04-10 20:00:00,市民会館,0.739
2024-04-10 20:30:00,市民会館,0.757
2024-04-10 21:00:00,市民会館,0.773
2024-04-10 21:30:00,市民会館,0.737
2024-04-10 22:00:00,市民会館,0.79
2024-04-10 22:30:00,市民会館,0.707
2024-04-10 23:00:00,市民会館,0.75
2024-04-10 23:30:00,市民会館,0.847
2024-04-11 00:00:00,市民会館,0.758
2024-04-11 00:30:00,市民会館,0.804
2024-04-11 01:00:00,市民会館,0.753
2024-04-11 01:30:00,市民会館,0.772
2024-04-11 02:00:00,市民会館,0.748
2024-04-11 02:30:00,市民会館,0.744
2024-04-11 03:00:00,市民会館,0.721
2024-04-11 03:30:00,市民会館,0.766
2024-04-11 04:00:00,市民会館,0.718
2024-04-11 04:30:00,市民会館,0.775
2024-04-11 05:00:00,市民会館,2.501
2024-04-11 05:30:00,市民会館,2.416
2024-04-11 06:00:00,市民会館,8.164
2024-04-11 06:30:00,市民会館,8.47
2024-04-11 07:00:00,市民会館,17.285
2024-04-11 07:30:00,市民会館,18.377
2024-04-11 08:00:00,市民会館,20.591
2024-04-11 08:30:00,市民会館,22.286
2024-04-11 09:00:00,市民会館,16.372
2024-04-11 09:30:00,市民会館,16.823
2024-04-11 10:00:00,市民会館,11.01
2024-04-11 10:30:00,市民会館,10.769
2024-04-11 11:00:00,市民会館,6.981
2024-04-11 11:30:00,市民会館,6.697
2024-04-11 12:00:00,市民会館,8.1
2024-04-11 12:30:00,市民会館,9.252
2024-04-11 13:00:00,市民会館,14.888
2024-04-11 13:30:00,市民会館,13.57
2024-04-11 14:00:00,市民会館,14.583
2024-04-11 14:30:00,市民会館,15.352
2024-04-11 15:00:00,市民会館,12.204
2024-04-11 15:30:00,市民会館,13.041
2024-04-11 16:00:00,市民会館,9.143
2024-04-11 16:30:00,市民会館,9.059
2024-04-11 17:00:00,市民会館,5.062
2024-04-11 17:30:00,市民会館,4.954
2024-04-11 18:00:00,市民会館,2.098
2024-04-11 18:30:00,市民会館,1.96
2024-04-11 19:00:00,市民会館,0.784
2024-04-11 19:30:00,市民会館,0.811
2024-04-11 20:00:00,市民会館,0.714
2024-04-11 20:30:00,市民会館,0.717
2024-04-11 21:00:00,市民会館,0.8
2024-04-11 21:30:00,市民会館,0.743
2024-04-11 22:00:00,市民会館,0.803
2024-04-11 22:30:00,市民会館,0.733
2024-04-11 23:00:00,市民会館,0.805
2024-04-11 23:30:00,市民会館,0.755
2024-04-12 00:00:00,市民会館,0.76
2024-04-12 00:30:00,市民会館,0.809
2024-04-12 01:00:00,市民会館,0.736
2024-04-12 01:30:00,市民会館,0.715
2024-04-12 02:00:00,市民会館,0.733
2024-04-12 02:30:00,市民会館,0.767
2024-04-12 03:00:00,市民会館,0.691
2024-04-12 03:30:00,市民会館,0.774
2024-04-12 04:00:00,市民会館,0.73
2024-04-12 04:30:00,市民会館,0.793
2024-04-12 05:00:00,市民会館,2.088
2024-04-12 05:30:00,市民会館,2.279
2024-04-12 06:00:00,市民会館,7.584
2024-04-12 06:30:00,市民会館,7.94
2024-04-12 07:00:00,市民会館,17.773
2024-04-12 07:30:00,市民会館,17.399
2024-04-12 08:00:00,市民会館,22.379
2024-04-12 08:30:00,市民会館,22.486
2024-04-12 09:00:00,市民会館,18.367
2024-04-12 09:30:00,市民会館,17.265
2024-04-12 10:00:00,市民会館,10.672
2024-04-12 10:30:00,市民会館,10.649
2024-04-12 11:00:00,市民会館,7.381
2024-04-12 11:30:00,市民会館,7.443
2024-04-12 12:00:00,市民会館,9.651
2024-04-12 12:30:00,市民会館,10.478
2024-04-12 13:00:00,市民会館,13.223
2024-04-12 13:30:00,市民会館,13.077
2024-04-12 14:00:00,市民会館,14.438
2024-04-12 14:30:00,市民会館,14.228
2024-04-12 15:00:00,市民会館,12.414
2024-04-12 15:30:00,市民会館,12.649
2024-04-12 16:00:00,市民会館,9.066
2024-04-12 16:30:00,市民会館,9.25
2024-04-12 17:00:00,市民会館,4.882
2024-04-12 17:30:00,市民会館,4.683
2024-04-12 18:00:00,市民会館,2.121
2024-04-12 18:30:00,市民会館,2.105
2024-04-12 19:00:00,市民会館,0.744
2024-04-12 19:30:00,市民会館,0.726
2024-04-12 20:00:00,市民会館,0.771
2024-04-12 20:30:00,市民会館,0.757
2024-04-12 21:00:00,市民会館,0.696
2024-04-12 21:30:00,市民会館,0.747
2024-04-12 22:00:00,市民会館,0.76
2024-04-12 22:30:00,市民会館,0.716
2024-04-12 23:00:00,市民会館,0.757
2024-04-12 23:30:00,市民会館,0.695
2024-04-13 00:00:00,市民会館,0.8
2024-04-13 00:30:00,市民会館,0.797
2024-04-13 01:00:00,市民会館,0.741
2024-04-13 01:30:00,市民会館,0.764
2024-04-13 02:00:00,市民会館,0.66
2024-04-13 02:30:00,市民会館,0.707
2024-04-13 03:00:00,市民会館,0.739
2024-04-13 03:30:00,市民会館,0.71
2024-04-13 04:00:00,市民会館,0.777
2024-04-13 04:30:00,市民会館,0.825
2024-04-13 05:00:00,市民会館,0.706
2024-04-13 05:30:00,市民会館,0.719
2024-04-13 06:00:00,市民会館,1.254
2024-04-13 06:30:00,市民会館,1.34
2024-04-13 07:00:00,市民会館,2.017
2024-04-13 07:30:00,市民会館,2.176
2024-04-13 08:00:00,市民会館,3.677
2024-04-13 08:30:00,市民会館,3.092
2024-04-13 09:00:00,市民会館,4.476
2024-04-13 09:30:00,市民会館,4.681
2024-04-13 10:00:00,市民会館,5.981
2024-04-13 10:30:00,市民会館,6.39
2024-04-13 11:00:00,市民会館,7.22
2024-04-13 11:30:00,市民会館,6.501
2024-04-13 12:00:00,市民会館,7.693
2024-04-13 12:30:00,市民会館,7.283
2024-04-13 13:00:00,市民会館,7.589
2024-04-13 13:30:00,市民会館,6.91
2024-04-13 14:00:00,市民会館,5.945
2024-04-13 14:30:00,市民会館,6.307
2024-04-13 15:00:00,市民会館,4.965
2024-04-13 15:30:00,市民会館,4.889
2024-04-13 16:00:00,市民会館,3.086
2024-04-13 16:30:00,市民会館,3.461
2024-04-13 17:00:00,市民会館,2.038
2024-04-13 17:30:00,市民会館,2.174
2024-04-13 18:00:00,市民会館,1.151
2024-04-13 18:30:00,市民会館,1.267
2024-04-13 19:00:00,市民会館,0.72
2024-04-13 19:30:00,市民会館,0.702
2024-04-13 20:00:00,市民会館,0.777
2024-04-13 20:30:00,市民会館,0.759
2024-04-13 21:00:00,市民会館,0.727
2024-04-13 21:30:00,市民会館,0.804
2024-04-13 22:00:00,市民会館,0.733
2024-04-13 22:30:00,市民会館,0.751
2024-04-13 23:00:00,市民会館,0.76
2024-04-13 23:30:00,市民会館,0.727
2024-04-14 00:00:00,市民会館,0.768
2024-04-14 00:30:00,市民会館,0.73
2024-04-14 01:00:00,市民会館,0.735
2024-04-14 01:30:00,市民会館,0.801
2024-04-14 02:00:00,市民会館,0.711
2024-04-14 02:30:00,市民会館,0.66
2024-04-14 03:00:00,市民会館,0.81
2024-04-14 03:30:00,市民会館,0.846
2024-04-14 04:00:00,市民会館,0.735
2024-04-14 04:30:00,市民会館,0.677
